University,Department,Level,Course Code,Course Name
"Lagos State University","Fisheries","100","BIO101","General Biology I"
"Lagos State University","Fisheries","100","CHM101","General Chemistry I"
"Lagos State University","Fisheries","100","FIS101","Introduction to Fisheries"
"Lagos State University","Fisheries","100","MTH101","Elementary Mathematics I"
"Lagos State University","Fisheries","100","PHY101","General Physics I"
"Lagos State University","Fisheries","100","PHY107","General Practical Physics I"
"Lagos State University","Fisheries","100","GST121","Use of Library Skills & ICT"
"Lagos State University","Fisheries","100","GST122","Communication in English II"
"Lagos State University","Fisheries","100","GST125","Contemporary Health Issues"
"Lagos State University","Fisheries","100","GST126","Communication in Arabic"
"Lagos State University","Fisheries","100","BIO102","General Biology II"
"Lagos State University","Fisheries","100","CHM102","General Chemistry II"
"Lagos State University","Fisheries","100","FIS102","Introduction to Aquatic Ecology"
"Lagos State University","Fisheries","100","MTH102","Elementary Mathematics II"
"Lagos State University","Fisheries","100","PHY102","General Physics II"
"Lagos State University","Fisheries","100","PHY108","General Practical Physics II"
"Lagos State University","Fisheries","200","GST211","Environment & Sustainable Development"
"Lagos State University","Fisheries","200","GST212","Application of Computer"
"Lagos State University","Fisheries","200","GST214","Valuing the Teaching Profession II"
"Lagos State University","Fisheries","200","FIS201","General Ichthyology"
"Lagos State University","Fisheries","200","FIS203","Fisheries Biology"
"Lagos State University","Fisheries","200","FIS205","Principles of Aquaculture"
"Lagos State University","Fisheries","200","FIS207","Fisheries Statistics"
"Lagos State University","Fisheries","200","STA211","Statistics for Biological Sciences"
"Lagos State University","Fisheries","200","GST222","Peace & Conflict Resolution"
"Lagos State University","Fisheries","200","GST223","Intro to Entrepreneurship"
"Lagos State University","Fisheries","200","GST224","Leadership Skills"
"Lagos State University","Fisheries","200","GST225","Yoruba Grammar & Communication"
"Lagos State University","Fisheries","200","GST226","Land Use & General Agriculture"
"Lagos State University","Fisheries","200","FIS202","Limnology"
"Lagos State University","Fisheries","200","FIS204","Fish Nutrition"
"Lagos State University","Fisheries","200","FIS206","Fish Genetics & Breeding"
"Lagos State University","Fisheries","200","FIS208","Fishing Gear Technology"
"Lagos State University","Fisheries","300","GST311","Entrepreneurship"
"Lagos State University","Fisheries","300","FIS301","Fish Physiology"
"Lagos State University","Fisheries","300","FIS303","Fish Pathology & Parasitology"
"Lagos State University","Fisheries","300","FIS305","Fisheries Management"
"Lagos State University","Fisheries","300","FIS307","Aquaculture Systems & Pond Management"
"Lagos State University","Fisheries","300","FIS309","Fish Processing & Preservation"
"Lagos State University","Fisheries","300","FIS311","Fisheries Economics"
"Lagos State University","Fisheries","300","ENT321","Entrepreneurship & Business Management"
"Lagos State University","Fisheries","300","FIS302","Marine Fisheries"
"Lagos State University","Fisheries","300","FIS304","Inland Fisheries"
"Lagos State University","Fisheries","300","FIS306","Fish Hatchery Management"
"Lagos State University","Fisheries","300","FIS308","Environmental Impact of Fisheries"
"Lagos State University","Fisheries","300","FIS399","SIWES / Industrial Training (12 weeks)"
"Lagos State University","Fisheries","400","FIS401","Advanced Aquaculture"
"Lagos State University","Fisheries","400","FIS403","Fish Stock Assessment"
"Lagos State University","Fisheries","400","FIS405","Fisheries Policy & Legislation"
"Lagos State University","Fisheries","400","FIS407","Integrated Fish Farming"
"Lagos State University","Fisheries","400","FIS409","Seminar"
"Lagos State University","Fisheries","400","ENT421","Investment Marketing & Management"
"Lagos State University","Fisheries","400","FIS402","Fisheries Extension & Rural Development"
"Lagos State University","Fisheries","400","FIS404","Research Project"
"Lagos State University","Fisheries","400","FIS406","Aquatic Pollution & Toxicology"
"Lagos State University","Fisheries","400","FIS408","Sustainable Fisheries Management"
"Lagos State University","Microbiology","100","GST111","Communication in English I"
"Lagos State University","Microbiology","100","GST112","Logic, Philosophy & Human Existence"
"Lagos State University","Microbiology","100","GST113","Nigerian Peoples & Culture"
"Lagos State University","Microbiology","100","GST114","Valuing the Teaching Profession I"
"Lagos State University","Microbiology","100","GST115","Lagos & Its Environs"
"Lagos State University","Microbiology","100","GST116","Intro to Yoruba Language & Culture"
"Lagos State University","Microbiology","100","BIO101","General Biology I"
"Lagos State University","Microbiology","100","CHM101","General Chemistry I"
"Lagos State University","Microbiology","100","MCB101","Introduction to Microbiology"
"Lagos State University","Microbiology","100","MTH101","Elementary Mathematics I"
"Lagos State University","Microbiology","100","PHY101","General Physics I"
"Lagos State University","Microbiology","100","PHY107","General Practical Physics I"
"Lagos State University","Microbiology","100","GST121","Use of Library Skills & ICT"
"Lagos State University","Microbiology","100","GST122","Communication in English II"
"Lagos State University","Microbiology","100","GST125","Contemporary Health Issues"
"Lagos State University","Microbiology","100","GST126","Communication in Arabic"
"Lagos State University","Microbiology","100","BIO102","General Biology II"
"Lagos State University","Microbiology","100","CHM102","General Chemistry II"
"Lagos State University","Microbiology","100","MCB102","Microbial Diversity"
"Lagos State University","Microbiology","100","MTH102","Elementary Mathematics II"
"Lagos State University","Microbiology","100","PHY102","General Physics II"
"Lagos State University","Microbiology","100","PHY108","General Practical Physics II"
"Lagos State University","Microbiology","200","GST211","Environment & Sustainable Development"
"Lagos State University","Microbiology","200","GST212","Application of Computer"
"Lagos State University","Microbiology","200","GST214","Valuing the Teaching Profession II"
"Lagos State University","Microbiology","200","MCB201","General Microbiology"
"Lagos State University","Microbiology","200","MCB203","Microbial Morphology & Physiology"
"Lagos State University","Microbiology","200","MCB205","Microbial Genetics"
"Lagos State University","Microbiology","200","MCB207","Microbial Ecology"
"Lagos State University","Microbiology","200","STA211","Statistics for Biological Sciences"
"Lagos State University","Microbiology","200","GST222","Peace & Conflict Resolution"
"Lagos State University","Microbiology","200","GST223","Intro to Entrepreneurship"
"Lagos State University","Microbiology","200","GST224","Leadership Skills"
"Lagos State University","Microbiology","200","GST225","Yoruba Grammar & Communication"
"Lagos State University","Microbiology","200","GST226","Land Use & General Agriculture"
"Lagos State University","Microbiology","200","MCB202","Immunology"
"Lagos State University","Microbiology","200","MCB204","Medical Microbiology"
"Lagos State University","Microbiology","200","MCB206","Industrial Microbiology"
"Lagos State University","Microbiology","200","MCB208","Microbiology Practical I"
"Lagos State University","Microbiology","300","GST311","Entrepreneurship"
"Lagos State University","Microbiology","300","MCB301","Bacteriology"
"Lagos State University","Microbiology","300","MCB303","Virology"
"Lagos State University","Microbiology","300","MCB305","Mycology"
"Lagos State University","Microbiology","300","MCB307","Microbial Biochemistry"
"Lagos State University","Microbiology","300","MCB309","Food & Dairy Microbiology"
"Lagos State University","Microbiology","300","MCB311","Microbiology Practical II"
"Lagos State University","Microbiology","300","ENT321","Entrepreneurship & Business Management"
"Lagos State University","Microbiology","300","MCB302","Environmental Microbiology"
"Lagos State University","Microbiology","300","MCB304","Molecular Biology"
"Lagos State University","Microbiology","300","MCB306","Public Health Microbiology"
"Lagos State University","Microbiology","300","MCB308","Waste Management & Bioremediation"
"Lagos State University","Microbiology","300","MCB399","SIWES / Industrial Training (12 weeks)"
"Lagos State University","Microbiology","400","MCB401","Advanced Microbial Genetics"
"Lagos State University","Microbiology","400","MCB403","Pharmaceutical Microbiology"
"Lagos State University","Microbiology","400","MCB405","Microbial Biotechnology"
"Lagos State University","Microbiology","400","MCB407","Epidemiology"
"Lagos State University","Microbiology","400","MCB409","Seminar"
"Lagos State University","Microbiology","400","ENT421","Investment Marketing & Management"
"Lagos State University","Microbiology","400","MCB402","Clinical Microbiology"
"Lagos State University","Microbiology","400","MCB404","Research Project"
"Lagos State University","Microbiology","400","MCB406","Industrial Fermentation Technology"
"Lagos State University","Microbiology","400","MCB408","Advanced Immunology"
"Lagos State University","Physics","100","GST111","Communication in English I"
"Lagos State University","Physics","100","GST112","Logic, Philosophy & Human Existence"
"Lagos State University","Physics","100","GST113","Nigerian Peoples & Culture"
"Lagos State University","Physics","100","GST114","Valuing the Teaching Profession I"
"Lagos State University","Physics","100","GST115","Lagos & Its Environs"
"Lagos State University","Physics","100","GST116","Intro to Yoruba Language & Culture"
"Lagos State University","Physics","100","PHY101","General Physics I"
"Lagos State University","Physics","100","PHY103","Mechanics & Properties of Matter"
"Lagos State University","Physics","100","PHY107","General Practical Physics I"
"Lagos State University","Physics","100","MTH101","Elementary Mathematics I"
"Lagos State University","Physics","100","MTH103","Elementary Mathematics III"
"Lagos State University","Physics","100","CHM101","General Chemistry I"
"Lagos State University","Physics","100","GST121","Use of Library Skills & ICT"
"Lagos State University","Physics","100","GST122","Communication in English II"
"Lagos State University","Physics","100","GST125","Contemporary Health Issues"
"Lagos State University","Physics","100","GST126","Communication in Arabic"
"Lagos State University","Physics","100","PHY102","General Physics II"
"Lagos State University","Physics","100","PHY104","Heat & Thermodynamics"
"Lagos State University","Physics","100","PHY108","General Practical Physics II"
"Lagos State University","Physics","100","MTH102","Elementary Mathematics II"
"Lagos State University","Physics","100","STA112","Probability I"
"Lagos State University","Physics","200","GST211","Environment & Sustainable Development"
"Lagos State University","Physics","200","GST212","Application of Computer"
"Lagos State University","Physics","200","GST214","Valuing the Teaching Profession II"
"Lagos State University","Physics","200","PHY201","Electricity & Magnetism I"
"Lagos State University","Physics","200","PHY203","Waves & Optics I"
"Lagos State University","Physics","200","PHY205","Classical Mechanics I"
"Lagos State University","Physics","200","MTH201","Mathematical Methods I"
"Lagos State University","Physics","200","MTH207","Real Analysis I"
